_id,Quarter,HB,HBT,HBTQF,CancerType,CancerTypeQF,NumberOfEligibleReferrals31DayStandard,NumberOfEligibleReferrals31DayStandardQF,NumberOfEligibleReferralsTreatedWithin31Days,NumberOfEligibleReferralsTreatedWithin31DaysQF
4911,2014Q4,S08000022,S08000022,"",Urological,"",49,"",43,""
4912,2014Q4,S08000022,S08000028,"",Urological,"",1,"",1,""
4913,2014Q4,S08000022,S08000031,"",Urological,"",3,"",3,""
4914,2014Q4,S08000022,S92000003,d,Urological,"",53,"",47,""
4915,2014Q4,S08000024,S08000024,"",Urological,"",147,"",137,""
4916,2014Q4,S08000024,S92000003,d,Urological,"",147,"",137,""
4917,2014Q4,S08000025,S08000020,"",Urological,"",1,"",1,""
4918,2014Q4,S08000025,S08000025,"",Urological,"",1,"",1,""
4919,2014Q4,S08000025,S92000003,d,Urological,"",2,"",2,""
4920,2014Q4,S08000026,S08000026,"",Urological,"",3,"",3,""
4921,2014Q4,S08000026,S92000003,d,Urological,"",3,"",3,""
4922,2014Q4,S08000029,S08000024,"",Urological,"",6,"",3,""
4923,2014Q4,S08000029,S08000029,"",Urological,"",58,"",51,""
4924,2014Q4,S08000029,S08000030,"",Urological,"",1,"",1,""
4925,2014Q4,S08000029,S92000003,d,Urological,"",65,"",55,""
4926,2014Q4,S08000030,S08000030,"",Urological,"",123,"",112,""
4927,2014Q4,S08000030,S92000003,d,Urological,"",123,"",112,""
4928,2014Q4,S08000031,S08000030,"",Urological,"",1,"",1,""
4929,2014Q4,S08000031,S08000031,"",Urological,"",286,"",257,""
4930,2014Q4,S08000031,S92000003,d,Urological,"",287,"",258,""
4931,2014Q4,S08000032,S08000024,"",Urological,"",2,"",1,""
4932,2014Q4,S08000032,S08000031,"",Urological,"",15,"",14,""
4933,2014Q4,S08000032,S08000032,"",Urological,"",103,"",98,""
4934,2014Q4,S08000032,S92000003,d,Urological,"",120,"",113,""
4935,2015Q1,S08000015,S08000015,"",All Cancer Types,d,381,"",378,""
4936,2015Q1,S08000015,S08000017,"",All Cancer Types,d,2,"",2,""
4937,2015Q1,S08000015,S08000024,"",All Cancer Types,d,1,"",1,""
4938,2015Q1,S08000015,S08000031,"",All Cancer Types,d,68,"",68,""
4939,2015Q1,S08000015,S92000003,d,All Cancer Types,d,463,"",460,""
4940,2015Q1,S08000015,SB0801,"",All Cancer Types,d,11,"",11,""
4941,2015Q1,S08000016,S08000016,"",All Cancer Types,d,88,"",86,""
4942,2015Q1,S08000016,S08000024,"",All Cancer Types,d,32,"",29,""
4943,2015Q1,S08000016,S92000003,d,All Cancer Types,d,120,"",115,""
4944,2015Q1,S08000017,S08000017,"",All Cancer Types,d,143,"",143,""
4945,2015Q1,S08000017,S08000024,"",All Cancer Types,d,35,"",26,""
4946,2015Q1,S08000017,S08000031,"",All Cancer Types,d,1,"",1,""
4947,2015Q1,S08000017,S92000003,d,All Cancer Types,d,181,"",172,""
4948,2015Q1,S08000017,SB0801,"",All Cancer Types,d,2,"",2,""
4949,2015Q1,S08000019,S08000019,"",All Cancer Types,d,244,"",239,""
4950,2015Q1,S08000019,S08000024,"",All Cancer Types,d,2,"",2,""
4951,2015Q1,S08000019,S08000031,"",All Cancer Types,d,36,"",34,""
4952,2015Q1,S08000019,S08000032,"",All Cancer Types,d,1,"",1,""
4953,2015Q1,S08000019,S92000003,d,All Cancer Types,d,296,"",289,""
4954,2015Q1,S08000019,SB0801,"",All Cancer Types,d,13,"",13,""
4955,2015Q1,S08000020,S08000020,"",All Cancer Types,d,550,"",525,""
4956,2015Q1,S08000020,S08000022,"",All Cancer Types,d,2,"",2,""
4957,2015Q1,S08000020,S08000024,"",All Cancer Types,d,1,"",1,""
4958,2015Q1,S08000020,S08000025,"",All Cancer Types,d,2,"",2,""
4959,2015Q1,S08000020,S92000003,d,All Cancer Types,d,555,"",530,""
4960,2015Q1,S08000022,S08000020,"",All Cancer Types,d,5,"",2,""
4961,2015Q1,S08000022,S08000022,"",All Cancer Types,d,290,"",278,""
4962,2015Q1,S08000022,S08000028,"",All Cancer Types,d,1,"",1,""
4963,2015Q1,S08000022,S08000031,"",All Cancer Types,d,7,"",6,""
4964,2015Q1,S08000022,S92000003,d,All Cancer Types,d,309,"",293,""
4965,2015Q1,S08000022,SB0801,"",All Cancer Types,d,6,"",6,""
4966,2015Q1,S08000024,S08000016,"",All Cancer Types,d,4,"",4,""
4967,2015Q1,S08000024,S08000019,"",All Cancer Types,d,3,"",3,""
4968,2015Q1,S08000024,S08000024,"",All Cancer Types,d,798,"",771,""
4969,2015Q1,S08000024,S08000029,"",All Cancer Types,d,1,"",1,""
4970,2015Q1,S08000024,S92000003,d,All Cancer Types,d,806,"",779,""
4971,2015Q1,S08000025,S08000020,"",All Cancer Types,d,1,"",1,""
4972,2015Q1,S08000025,S08000025,"",All Cancer Types,d,2,"",2,""
4973,2015Q1,S08000025,S92000003,d,All Cancer Types,d,3,"",3,""
4974,2015Q1,S08000026,S08000020,"",All Cancer Types,d,8,"",8,""
4975,2015Q1,S08000026,S08000026,"",All Cancer Types,d,11,"",11,""
4976,2015Q1,S08000026,S92000003,d,All Cancer Types,d,19,"",19,""
4977,2015Q1,S08000028,S08000022,"",All Cancer Types,d,9,"",9,""
4978,2015Q1,S08000028,S08000028,"",All Cancer Types,d,5,"",5,""
4979,2015Q1,S08000028,S08000031,"",All Cancer Types,d,3,"",3,""
4980,2015Q1,S08000028,S92000003,d,All Cancer Types,d,17,"",17,""
4981,2015Q1,S08000029,S08000024,"",All Cancer Types,d,68,"",63,""
4982,2015Q1,S08000029,S08000029,"",All Cancer Types,d,272,"",261,""
4983,2015Q1,S08000029,S08000030,"",All Cancer Types,d,7,"",5,""
4984,2015Q1,S08000029,S08000031,"",All Cancer Types,d,1,"",1,""
4985,2015Q1,S08000029,S92000003,d,All Cancer Types,d,348,"",330,""
4986,2015Q1,S08000030,S08000024,"",All Cancer Types,d,4,"",4,""
4987,2015Q1,S08000030,S08000030,"",All Cancer Types,d,485,"",461,""
4988,2015Q1,S08000030,S92000003,d,All Cancer Types,d,489,"",465,""
4989,2015Q1,S08000031,S08000019,"",All Cancer Types,d,1,"",1,""
4990,2015Q1,S08000031,S08000022,"",All Cancer Types,d,1,"",1,""
4991,2015Q1,S08000031,S08000024,"",All Cancer Types,d,5,"",5,""
4992,2015Q1,S08000031,S08000030,"",All Cancer Types,d,1,"",1,""
4993,2015Q1,S08000031,S08000031,"",All Cancer Types,d,1467,"",1415,""
4994,2015Q1,S08000031,S08000032,"",All Cancer Types,d,12,"",12,""
4995,2015Q1,S08000031,S92000003,d,All Cancer Types,d,1543,"",1491,""
4996,2015Q1,S08000031,SB0801,"",All Cancer Types,d,56,"",56,""
4997,2015Q1,S08000032,S08000024,"",All Cancer Types,d,6,"",4,""
4998,2015Q1,S08000032,S08000031,"",All Cancer Types,d,89,"",87,""
4999,2015Q1,S08000032,S08000032,"",All Cancer Types,d,384,"",371,""
5000,2015Q1,S08000032,S92000003,d,All Cancer Types,d,495,"",478,""
5001,2015Q1,S08000032,SB0801,"",All Cancer Types,d,16,"",16,""
5002,2015Q1,S08000015,S08000015,"",Breast,"",102,"",102,""
5003,2015Q1,S08000015,S08000017,"",Breast,"",2,"",2,""
5004,2015Q1,S08000015,S08000031,"",Breast,"",4,"",4,""
5005,2015Q1,S08000015,S92000003,d,Breast,"",108,"",108,""
5006,2015Q1,S08000016,S08000016,"",Breast,"",14,"",14,""
5007,2015Q1,S08000016,S08000024,"",Breast,"",1,"",1,""
5008,2015Q1,S08000016,S92000003,d,Breast,"",15,"",15,""
5009,2015Q1,S08000017,S08000017,"",Breast,"",23,"",23,""
5010,2015Q1,S08000017,S08000024,"",Breast,"",1,"",1,""
5011,2015Q1,S08000017,S92000003,d,Breast,"",24,"",24,""
5012,2015Q1,S08000019,S08000019,"",Breast,"",37,"",33,""
5013,2015Q1,S08000019,S08000031,"",Breast,"",1,"",0,""
5014,2015Q1,S08000019,S92000003,d,Breast,"",38,"",33,""
5015,2015Q1,S08000020,S08000020,"",Breast,"",88,"",88,""
5016,2015Q1,S08000020,S92000003,d,Breast,"",88,"",88,""
5017,2015Q1,S08000022,S08000022,"",Breast,"",68,"",64,""
5018,2015Q1,S08000022,S08000028,"",Breast,"",1,"",1,""
5019,2015Q1,S08000022,S92000003,d,Breast,"",69,"",65,""
5020,2015Q1,S08000024,S08000016,"",Breast,"",4,"",4,""
5021,2015Q1,S08000024,S08000019,"",Breast,"",3,"",3,""
5022,2015Q1,S08000024,S08000024,"",Breast,"",225,"",225,""
5023,2015Q1,S08000024,S08000029,"",Breast,"",1,"",1,""
5024,2015Q1,S08000024,S92000003,d,Breast,"",233,"",233,""
5025,2015Q1,S08000025,S08000025,"",Breast,"",1,"",1,""
5026,2015Q1,S08000025,S92000003,d,Breast,"",1,"",1,""
5027,2015Q1,S08000026,S08000020,"",Breast,"",1,"",1,""
5028,2015Q1,S08000026,S08000026,"",Breast,"",3,"",3,""
5029,2015Q1,S08000026,S92000003,d,Breast,"",4,"",4,""
5030,2015Q1,S08000028,S08000028,"",Breast,"",1,"",1,""
5031,2015Q1,S08000028,S92000003,d,Breast,"",1,"",1,""
5032,2015Q1,S08000029,S08000024,"",Breast,"",2,"",2,""
5033,2015Q1,S08000029,S08000029,"",Breast,"",48,"",47,""
5034,2015Q1,S08000029,S92000003,d,Breast,"",50,"",49,""
5035,2015Q1,S08000030,S08000030,"",Breast,"",91,"",90,""
5036,2015Q1,S08000030,S92000003,d,Breast,"",91,"",90,""
5037,2015Q1,S08000031,S08000019,"",Breast,"",1,"",1,""
5038,2015Q1,S08000031,S08000031,"",Breast,"",344,"",329,""
5039,2015Q1,S08000031,S08000032,"",Breast,"",12,"",12,""
5040,2015Q1,S08000031,S92000003,d,Breast,"",357,"",342,""
5041,2015Q1,S08000032,S08000032,"",Breast,"",77,"",70,""
5042,2015Q1,S08000032,S92000003,d,Breast,"",77,"",70,""
5043,2015Q1,S08000015,S08000015,"",Cervical,"",2,"",2,""
5044,2015Q1,S08000015,S08000031,"",Cervical,"",6,"",6,""
5045,2015Q1,S08000015,S92000003,d,Cervical,"",8,"",8,""
5046,2015Q1,S08000017,S08000024,"",Cervical,"",1,"",1,""
5047,2015Q1,S08000017,S92000003,d,Cervical,"",1,"",1,""
5048,2015Q1,S08000019,S08000019,"",Cervical,"",5,"",5,""
5049,2015Q1,S08000019,S08000031,"",Cervical,"",2,"",2,""
5050,2015Q1,S08000019,S92000003,d,Cervical,"",7,"",7,""
5051,2015Q1,S08000020,S08000020,"",Cervical,"",5,"",5,""
5052,2015Q1,S08000020,S92000003,d,Cervical,"",5,"",5,""
5053,2015Q1,S08000022,S08000022,"",Cervical,"",1,"",1,""
5054,2015Q1,S08000022,S92000003,d,Cervical,"",1,"",1,""
5055,2015Q1,S08000024,S08000024,"",Cervical,"",28,"",28,""
5056,2015Q1,S08000024,S92000003,d,Cervical,"",28,"",28,""
5057,2015Q1,S08000028,S08000031,"",Cervical,"",1,"",1,""
5058,2015Q1,S08000028,S92000003,d,Cervical,"",1,"",1,""
5059,2015Q1,S08000029,S08000024,"",Cervical,"",4,"",3,""
5060,2015Q1,S08000029,S92000003,d,Cervical,"",4,"",3,""
5061,2015Q1,S08000030,S08000030,"",Cervical,"",10,"",8,""
5062,2015Q1,S08000030,S92000003,d,Cervical,"",10,"",8,""
5063,2015Q1,S08000031,S08000031,"",Cervical,"",11,"",11,""
5064,2015Q1,S08000031,S92000003,d,Cervical,"",11,"",11,""
5065,2015Q1,S08000032,S08000031,"",Cervical,"",3,"",3,""
5066,2015Q1,S08000032,S08000032,"",Cervical,"",2,"",2,""
5067,2015Q1,S08000032,S92000003,d,Cervical,"",5,"",5,""
5068,2015Q1,S08000015,S08000015,"",Colorectal,"",53,"",51,""
5069,2015Q1,S08000015,S08000031,"",Colorectal,"",6,"",6,""
5070,2015Q1,S08000015,S92000003,d,Colorectal,"",59,"",57,""
5071,2015Q1,S08000016,S08000016,"",Colorectal,"",20,"",19,""
5072,2015Q1,S08000016,S08000024,"",Colorectal,"",8,"",8,""
5073,2015Q1,S08000016,S92000003,d,Colorectal,"",28,"",27,""
5074,2015Q1,S08000017,S08000017,"",Colorectal,"",28,"",28,""
5075,2015Q1,S08000017,S08000024,"",Colorectal,"",1,"",1,""
5076,2015Q1,S08000017,S92000003,d,Colorectal,"",29,"",29,""
5077,2015Q1,S08000019,S08000019,"",Colorectal,"",38,"",37,""
5078,2015Q1,S08000019,S08000031,"",Colorectal,"",1,"",1,""
5079,2015Q1,S08000019,S92000003,d,Colorectal,"",39,"",38,""
5080,2015Q1,S08000020,S08000020,"",Colorectal,"",73,"",73,""
5081,2015Q1,S08000020,S08000022,"",Colorectal,"",1,"",1,""
5082,2015Q1,S08000020,S92000003,d,Colorectal,"",74,"",74,""
5083,2015Q1,S08000022,S08000022,"",Colorectal,"",40,"",40,""
5084,2015Q1,S08000022,S92000003,d,Colorectal,"",40,"",40,""
5085,2015Q1,S08000024,S08000024,"",Colorectal,"",78,"",71,""
5086,2015Q1,S08000024,S92000003,d,Colorectal,"",78,"",71,""
5087,2015Q1,S08000025,S08000020,"",Colorectal,"",1,"",1,""
5088,2015Q1,S08000025,S08000025,"",Colorectal,"",1,"",1,""
5089,2015Q1,S08000025,S92000003,d,Colorectal,"",2,"",2,""
5090,2015Q1,S08000026,S08000026,"",Colorectal,"",2,"",2,""
5091,2015Q1,S08000026,S92000003,d,Colorectal,"",2,"",2,""
5092,2015Q1,S08000028,S08000022,"",Colorectal,"",2,"",2,""
5093,2015Q1,S08000028,S08000028,"",Colorectal,"",1,"",1,""
5094,2015Q1,S08000028,S92000003,d,Colorectal,"",3,"",3,""
5095,2015Q1,S08000029,S08000024,"",Colorectal,"",2,"",2,""
5096,2015Q1,S08000029,S08000029,"",Colorectal,"",37,"",37,""
5097,2015Q1,S08000029,S08000030,"",Colorectal,"",1,"",1,""
5098,2015Q1,S08000029,S92000003,d,Colorectal,"",40,"",40,""
5099,2015Q1,S08000030,S08000030,"",Colorectal,"",68,"",67,""
5100,2015Q1,S08000030,S92000003,d,Colorectal,"",68,"",67,""
5101,2015Q1,S08000031,S08000031,"",Colorectal,"",187,"",185,""
5102,2015Q1,S08000031,S92000003,d,Colorectal,"",187,"",185,""
5103,2015Q1,S08000032,S08000024,"",Colorectal,"",1,"",1,""
5104,2015Q1,S08000032,S08000031,"",Colorectal,"",9,"",9,""
5105,2015Q1,S08000032,S08000032,"",Colorectal,"",65,"",65,""
5106,2015Q1,S08000032,S92000003,d,Colorectal,"",75,"",75,""
5107,2015Q1,S08000015,S08000015,"",Head & Neck,"",8,"",8,""
5108,2015Q1,S08000015,S08000031,"",Head & Neck,"",11,"",11,""
5109,2015Q1,S08000015,S92000003,d,Head & Neck,"",19,"",19,""
5110,2015Q1,S08000016,S08000016,"",Head & Neck,"",3,"",3,""
5111,2015Q1,S08000016,S08000024,"",Head & Neck,"",3,"",3,""
5112,2015Q1,S08000016,S92000003,d,Head & Neck,"",6,"",6,""
5113,2015Q1,S08000017,S08000017,"",Head & Neck,"",5,"",5,""
5114,2015Q1,S08000017,S08000024,"",Head & Neck,"",2,"",2,""
5115,2015Q1,S08000017,S08000031,"",Head & Neck,"",1,"",1,""
5116,2015Q1,S08000017,S92000003,d,Head & Neck,"",8,"",8,""
5117,2015Q1,S08000019,S08000019,"",Head & Neck,"",4,"",4,""
5118,2015Q1,S08000019,S08000031,"",Head & Neck,"",12,"",12,""
5119,2015Q1,S08000019,S08000032,"",Head & Neck,"",1,"",1,""
5120,2015Q1,S08000019,S92000003,d,Head & Neck,"",17,"",17,""
5121,2015Q1,S08000020,S08000020,"",Head & Neck,"",29,"",28,""
5122,2015Q1,S08000020,S92000003,d,Head & Neck,"",29,"",28,""
5123,2015Q1,S08000022,S08000022,"",Head & Neck,"",16,"",14,""
5124,2015Q1,S08000022,S08000031,"",Head & Neck,"",1,"",1,""
5125,2015Q1,S08000022,S92000003,d,Head & Neck,"",17,"",15,""
5126,2015Q1,S08000024,S08000024,"",Head & Neck,"",41,"",41,""
5127,2015Q1,S08000024,S92000003,d,Head & Neck,"",41,"",41,""
5128,2015Q1,S08000026,S08000026,"",Head & Neck,"",1,"",1,""
5129,2015Q1,S08000026,S92000003,d,Head & Neck,"",1,"",1,""
5130,2015Q1,S08000028,S08000022,"",Head & Neck,"",2,"",2,""
5131,2015Q1,S08000028,S92000003,d,Head & Neck,"",2,"",2,""
5132,2015Q1,S08000029,S08000024,"",Head & Neck,"",8,"",8,""
5133,2015Q1,S08000029,S08000029,"",Head & Neck,"",3,"",3,""
5134,2015Q1,S08000029,S08000031,"",Head & Neck,"",1,"",1,""
5135,2015Q1,S08000029,S92000003,d,Head & Neck,"",12,"",12,""
5136,2015Q1,S08000030,S08000030,"",Head & Neck,"",20,"",17,""
5137,2015Q1,S08000030,S92000003,d,Head & Neck,"",20,"",17,""
5138,2015Q1,S08000031,S08000031,"",Head & Neck,"",84,"",82,""
5139,2015Q1,S08000031,S92000003,d,Head & Neck,"",85,"",83,""
5140,2015Q1,S08000031,SB0801,"",Head & Neck,"",1,"",1,""
5141,2015Q1,S08000032,S08000031,"",Head & Neck,"",14,"",14,""
5142,2015Q1,S08000032,S08000032,"",Head & Neck,"",16,"",16,""
5143,2015Q1,S08000032,S92000003,d,Head & Neck,"",30,"",30,""
5144,2015Q1,S08000015,S08000015,"",Lung,"",49,"",49,""
5145,2015Q1,S08000015,S08000031,"",Lung,"",14,"",14,""
5146,2015Q1,S08000015,S92000003,d,Lung,"",74,"",74,""
5147,2015Q1,S08000015,SB0801,"",Lung,"",11,"",11,""
5148,2015Q1,S08000016,S08000016,"",Lung,"",7,"",7,""
5149,2015Q1,S08000016,S08000024,"",Lung,"",5,"",5,""
5150,2015Q1,S08000016,S92000003,d,Lung,"",12,"",12,""
5151,2015Q1,S08000017,S08000017,"",Lung,"",27,"",27,""
5152,2015Q1,S08000017,S08000024,"",Lung,"",9,"",9,""
5153,2015Q1,S08000017,S92000003,d,Lung,"",38,"",38,""
5154,2015Q1,S08000017,SB0801,"",Lung,"",2,"",2,""
5155,2015Q1,S08000019,S08000019,"",Lung,"",33,"",33,""
5156,2015Q1,S08000019,S08000031,"",Lung,"",5,"",5,""
5157,2015Q1,S08000019,S92000003,d,Lung,"",51,"",51,""
5158,2015Q1,S08000019,SB0801,"",Lung,"",13,"",13,""
5159,2015Q1,S08000020,S08000020,"",Lung,"",78,"",77,""
5160,2015Q1,S08000020,S08000025,"",Lung,"",1,"",1,""
5161,2015Q1,S08000020,S92000003,d,Lung,"",79,"",78,""
5162,2015Q1,S08000022,S08000022,"",Lung,"",38,"",37,""
5163,2015Q1,S08000022,S08000031,"",Lung,"",1,"",1,""
5164,2015Q1,S08000022,S92000003,d,Lung,"",45,"",44,""
5165,2015Q1,S08000022,SB0801,"",Lung,"",6,"",6,""
5166,2015Q1,S08000024,S08000024,"",Lung,"",154,"",154,""
5167,2015Q1,S08000024,S92000003,d,Lung,"",154,"",154,""
5168,2015Q1,S08000026,S08000020,"",Lung,"",2,"",2,""
5169,2015Q1,S08000026,S92000003,d,Lung,"",2,"",2,""
5170,2015Q1,S08000028,S08000022,"",Lung,"",3,"",3,""
5171,2015Q1,S08000028,S08000028,"",Lung,"",2,"",2,""
5172,2015Q1,S08000028,S92000003,d,Lung,"",5,"",5,""
5173,2015Q1,S08000029,S08000024,"",Lung,"",35,"",34,""
5174,2015Q1,S08000029,S08000029,"",Lung,"",48,"",48,""
5175,2015Q1,S08000029,S08000030,"",Lung,"",2,"",2,""
5176,2015Q1,S08000029,S92000003,d,Lung,"",85,"",84,""
5177,2015Q1,S08000030,S08000024,"",Lung,"",4,"",4,""
5178,2015Q1,S08000030,S08000030,"",Lung,"",73,"",71,""
5179,2015Q1,S08000030,S92000003,d,Lung,"",77,"",75,""
5180,2015Q1,S08000031,S08000031,"",Lung,"",263,"",261,""
5181,2015Q1,S08000031,S92000003,d,Lung,"",317,"",315,""
5182,2015Q1,S08000031,SB0801,"",Lung,"",54,"",54,""
5183,2015Q1,S08000032,S08000031,"",Lung,"",39,"",38,""
5184,2015Q1,S08000032,S08000032,"",Lung,"",61,"",61,""
5185,2015Q1,S08000032,S92000003,d,Lung,"",116,"",115,""
5186,2015Q1,S08000032,SB0801,"",Lung,"",16,"",16,""
5187,2015Q1,S08000015,S08000015,"",Lymphoma,"",22,"",22,""
5188,2015Q1,S08000015,S08000031,"",Lymphoma,"",3,"",3,""
5189,2015Q1,S08000015,S92000003,d,Lymphoma,"",25,"",25,""
5190,2015Q1,S08000016,S08000016,"",Lymphoma,"",6,"",6,""
5191,2015Q1,S08000016,S92000003,d,Lymphoma,"",6,"",6,""
5192,2015Q1,S08000017,S08000017,"",Lymphoma,"",12,"",12,""
5193,2015Q1,S08000017,S92000003,d,Lymphoma,"",12,"",12,""
5194,2015Q1,S08000019,S08000019,"",Lymphoma,"",13,"",13,""
5195,2015Q1,S08000019,S92000003,d,Lymphoma,"",13,"",13,""
5196,2015Q1,S08000020,S08000020,"",Lymphoma,"",34,"",33,""
5197,2015Q1,S08000020,S08000022,"",Lymphoma,"",1,"",1,""
5198,2015Q1,S08000020,S92000003,d,Lymphoma,"",35,"",34,""
5199,2015Q1,S08000022,S08000022,"",Lymphoma,"",11,"",11,""
5200,2015Q1,S08000022,S92000003,d,Lymphoma,"",11,"",11,""
5201,2015Q1,S08000024,S08000024,"",Lymphoma,"",41,"",41,""
5202,2015Q1,S08000024,S92000003,d,Lymphoma,"",41,"",41,""
5203,2015Q1,S08000028,S08000028,"",Lymphoma,"",1,"",1,""
5204,2015Q1,S08000028,S92000003,d,Lymphoma,"",1,"",1,""
5205,2015Q1,S08000029,S08000024,"",Lymphoma,"",3,"",3,""
5206,2015Q1,S08000029,S08000029,"",Lymphoma,"",19,"",19,""
5207,2015Q1,S08000029,S08000030,"",Lymphoma,"",1,"",1,""
5208,2015Q1,S08000029,S92000003,d,Lymphoma,"",23,"",23,""
5209,2015Q1,S08000030,S08000030,"",Lymphoma,"",17,"",17,""
5210,2015Q1,S08000030,S92000003,d,Lymphoma,"",17,"",17,""
5211,2015Q1,S08000031,S08000030,"",Lymphoma,"",1,"",1,""
5212,2015Q1,S08000031,S08000031,"",Lymphoma,"",82,"",82,""
5213,2015Q1,S08000031,S92000003,d,Lymphoma,"",83,"",83,""
5214,2015Q1,S08000032,S08000031,"",Lymphoma,"",2,"",2,""
5215,2015Q1,S08000032,S08000032,"",Lymphoma,"",28,"",28,""
5216,2015Q1,S08000032,S92000003,d,Lymphoma,"",30,"",30,""
5217,2015Q1,S08000015,S08000015,"",Melanoma,"",24,"",24,""
5218,2015Q1,S08000015,S08000031,"",Melanoma,"",6,"",6,""
5219,2015Q1,S08000015,S92000003,d,Melanoma,"",30,"",30,""
5220,2015Q1,S08000016,S08000016,"",Melanoma,"",5,"",4,""
5221,2015Q1,S08000016,S08000024,"",Melanoma,"",1,"",1,""
5222,2015Q1,S08000016,S92000003,d,Melanoma,"",6,"",5,""
5223,2015Q1,S08000017,S08000017,"",Melanoma,"",8,"",8,""
5224,2015Q1,S08000017,S92000003,d,Melanoma,"",8,"",8,""
5225,2015Q1,S08000019,S08000019,"",Melanoma,"",16,"",16,""
5226,2015Q1,S08000019,S92000003,d,Melanoma,"",16,"",16,""
5227,2015Q1,S08000020,S08000020,"",Melanoma,"",27,"",27,""
5228,2015Q1,S08000020,S08000025,"",Melanoma,"",1,"",1,""
5229,2015Q1,S08000020,S92000003,d,Melanoma,"",28,"",28,""
5230,2015Q1,S08000022,S08000022,"",Melanoma,"",12,"",12,""
5231,2015Q1,S08000022,S92000003,d,Melanoma,"",12,"",12,""
5232,2015Q1,S08000024,S08000024,"",Melanoma,"",45,"",45,""
5233,2015Q1,S08000024,S92000003,d,Melanoma,"",45,"",45,""
5234,2015Q1,S08000026,S08000026,"",Melanoma,"",1,"",1,""
5235,2015Q1,S08000026,S92000003,d,Melanoma,"",1,"",1,""
5236,2015Q1,S08000029,S08000029,"",Melanoma,"",13,"",12,""
5237,2015Q1,S08000029,S08000030,"",Melanoma,"",2,"",1,""
5238,2015Q1,S08000029,S92000003,d,Melanoma,"",15,"",13,""
5239,2015Q1,S08000030,S08000030,"",Melanoma,"",26,"",24,""
5240,2015Q1,S08000030,S92000003,d,Melanoma,"",26,"",24,""
5241,2015Q1,S08000031,S08000031,"",Melanoma,"",57,"",57,""
5242,2015Q1,S08000031,S92000003,d,Melanoma,"",57,"",57,""
5243,2015Q1,S08000032,S08000031,"",Melanoma,"",2,"",2,""
5244,2015Q1,S08000032,S08000032,"",Melanoma,"",21,"",20,""
5245,2015Q1,S08000032,S92000003,d,Melanoma,"",23,"",22,""
5246,2015Q1,S08000015,S08000015,"",Ovarian,"",6,"",6,""
5247,2015Q1,S08000015,S08000031,"",Ovarian,"",6,"",6,""
5248,2015Q1,S08000015,S92000003,d,Ovarian,"",12,"",12,""
5249,2015Q1,S08000016,S08000016,"",Ovarian,"",2,"",2,""
5250,2015Q1,S08000016,S92000003,d,Ovarian,"",2,"",2,""
5251,2015Q1,S08000017,S08000017,"",Ovarian,"",4,"",4,""
5252,2015Q1,S08000017,S08000024,"",Ovarian,"",1,"",1,""
5253,2015Q1,S08000017,S92000003,d,Ovarian,"",5,"",5,""
5254,2015Q1,S08000019,S08000019,"",Ovarian,"",1,"",1,""
5255,2015Q1,S08000019,S08000031,"",Ovarian,"",4,"",4,""
5256,2015Q1,S08000019,S92000003,d,Ovarian,"",5,"",5,""
5257,2015Q1,S08000020,S08000020,"",Ovarian,"",12,"",12,""
5258,2015Q1,S08000020,S92000003,d,Ovarian,"",12,"",12,""
5259,2015Q1,S08000022,S08000022,"",Ovarian,"",9,"",9,""
5260,2015Q1,S08000022,S92000003,d,Ovarian,"",9,"",9,""
5261,2015Q1,S08000024,S08000024,"",Ovarian,"",9,"",9,""
5262,2015Q1,S08000024,S92000003,d,Ovarian,"",9,"",9,""
5263,2015Q1,S08000029,S08000029,"",Ovarian,"",5,"",5,""
5264,2015Q1,S08000029,S92000003,d,Ovarian,"",5,"",5,""
5265,2015Q1,S08000030,S08000030,"",Ovarian,"",4,"",4,""
5266,2015Q1,S08000030,S92000003,d,Ovarian,"",4,"",4,""
5267,2015Q1,S08000031,S08000031,"",Ovarian,"",19,"",19,""
5268,2015Q1,S08000031,S92000003,d,Ovarian,"",19,"",19,""
5269,2015Q1,S08000032,S08000031,"",Ovarian,"",9,"",9,""
5270,2015Q1,S08000032,S08000032,"",Ovarian,"",2,"",2,""
5271,2015Q1,S08000032,S92000003,d,Ovarian,"",11,"",11,""
5272,2015Q1,S08000015,S08000015,"",Upper GI,"",33,"",33,""
5273,2015Q1,S08000015,S08000024,"",Upper GI,"",1,"",1,""
5274,2015Q1,S08000015,S08000031,"",Upper GI,"",11,"",11,""
5275,2015Q1,S08000015,S92000003,d,Upper GI,"",45,"",45,""
5276,2015Q1,S08000016,S08000016,"",Upper GI,"",9,"",9,""
5277,2015Q1,S08000016,S08000024,"",Upper GI,"",7,"",7,""
5278,2015Q1,S08000016,S92000003,d,Upper GI,"",16,"",16,""
5279,2015Q1,S08000017,S08000017,"",Upper GI,"",12,"",12,""
5280,2015Q1,S08000017,S08000024,"",Upper GI,"",5,"",4,""
5281,2015Q1,S08000017,S92000003,d,Upper GI,"",17,"",16,""
5282,2015Q1,S08000019,S08000019,"",Upper GI,"",27,"",27,""
5283,2015Q1,S08000019,S08000024,"",Upper GI,"",2,"",2,""
5284,2015Q1,S08000019,S08000031,"",Upper GI,"",7,"",7,""
5285,2015Q1,S08000019,S92000003,d,Upper GI,"",36,"",36,""
