MonthOfDelay,CA,CAQF,AgeGroup,AgeGroupQF,ReasonForDelay,ReasonForDelayQF,NumberOfDelayedBedDays,AverageDailyNumberOfDelayedBeds
201803,S12000045,,18-74,,Patient and Family Related Reasons,,0,0
201803,S12000045,,18-74,,Code 9 AWI,,0,0
201803,S12000045,,18-74,,Code 9 Non-AWI,,0,0
201803,S12000045,,75plus,,All Delay Reasons,d,359,12
201803,S12000045,,75plus,,Health and Social Care Reasons,,295,10
201803,S12000045,,75plus,,Patient and Family Related Reasons,,0,0
201803,S12000045,,75plus,,Code 9 AWI,,62,2
201803,S12000045,,75plus,,Code 9 Non-AWI,,2,0
201803,S12000047,,18plus,d,All Delay Reasons,d,2296,74
201803,S12000047,,18plus,d,Health and Social Care Reasons,,1387,45
201803,S12000047,,18plus,d,Patient and Family Related Reasons,,0,0
201803,S12000047,,18plus,d,Code 9 AWI,,680,22
201803,S12000047,,18plus,d,Code 9 Non-AWI,,229,7
201803,S12000047,,18-74,,All Delay Reasons,d,826,27
201803,S12000047,,18-74,,Health and Social Care Reasons,,350,11
201803,S12000047,,18-74,,Patient and Family Related Reasons,,0,0
201803,S12000047,,18-74,,Code 9 AWI,,247,8
201803,S12000047,,18-74,,Code 9 Non-AWI,,229,7
201803,S12000047,,75plus,,All Delay Reasons,d,1470,47
201803,S12000047,,75plus,,Health and Social Care Reasons,,1037,33
201803,S12000047,,75plus,,Patient and Family Related Reasons,,0,0
201803,S12000047,,75plus,,Code 9 AWI,,433,14
201803,S12000047,,75plus,,Code 9 Non-AWI,,0,0
201803,S12000048,,18plus,d,All Delay Reasons,d,1389,45
201803,S12000048,,18plus,d,Health and Social Care Reasons,,1280,41
201803,S12000048,,18plus,d,Patient and Family Related Reasons,,8,0
201803,S12000048,,18plus,d,Code 9 AWI,,8,0
201803,S12000048,,18plus,d,Code 9 Non-AWI,,93,3
201803,S12000048,,18-74,,All Delay Reasons,d,435,14
201803,S12000048,,18-74,,Health and Social Care Reasons,,342,11
201803,S12000048,,18-74,,Patient and Family Related Reasons,,0,0
201803,S12000048,,18-74,,Code 9 AWI,,0,0
201803,S12000048,,18-74,,Code 9 Non-AWI,,93,3
201803,S12000048,,75plus,,All Delay Reasons,d,954,31
201803,S12000048,,75plus,,Health and Social Care Reasons,,938,30
201803,S12000048,,75plus,,Patient and Family Related Reasons,,8,0
201803,S12000048,,75plus,,Code 9 AWI,,8,0
201803,S12000048,,75plus,,Code 9 Non-AWI,,0,0
201803,S12000049,,18plus,d,All Delay Reasons,d,2906,94
201803,S12000049,,18plus,d,Health and Social Care Reasons,,2114,68
201803,S12000049,,18plus,d,Patient and Family Related Reasons,,44,1
201803,S12000049,,18plus,d,Code 9 AWI,,357,12
201803,S12000049,,18plus,d,Code 9 Non-AWI,,391,13
201803,S12000049,,18-74,,All Delay Reasons,d,1982,64
201803,S12000049,,18-74,,Health and Social Care Reasons,,1342,43
201803,S12000049,,18-74,,Patient and Family Related Reasons,,16,1
201803,S12000049,,18-74,,Code 9 AWI,,240,8
201803,S12000049,,18-74,,Code 9 Non-AWI,,384,12
201803,S12000049,,75plus,,All Delay Reasons,d,924,30
201803,S12000049,,75plus,,Health and Social Care Reasons,,772,25
201803,S12000049,,75plus,,Patient and Family Related Reasons,,28,1
201803,S12000049,,75plus,,Code 9 AWI,,117,4
201803,S12000049,,75plus,,Code 9 Non-AWI,,7,0
201803,S12000050,,18plus,d,All Delay Reasons,d,3174,102
201803,S12000050,,18plus,d,Health and Social Care Reasons,,2693,87
201803,S12000050,,18plus,d,Patient and Family Related Reasons,,31,1
201803,S12000050,,18plus,d,Code 9 AWI,,313,10
201803,S12000050,,18plus,d,Code 9 Non-AWI,,137,4
201803,S12000050,,18-74,,All Delay Reasons,d,1139,37
201803,S12000050,,18-74,,Health and Social Care Reasons,,889,29
201803,S12000050,,18-74,,Patient and Family Related Reasons,,31,1
201803,S12000050,,18-74,,Code 9 AWI,,147,5
201803,S12000050,,18-74,,Code 9 Non-AWI,,72,2
201803,S12000050,,75plus,,All Delay Reasons,d,2035,66
201803,S12000050,,75plus,,Health and Social Care Reasons,,1804,58
201803,S12000050,,75plus,,Patient and Family Related Reasons,,0,0
201803,S12000050,,75plus,,Code 9 AWI,,166,5
201803,S12000050,,75plus,,Code 9 Non-AWI,,65,2
201803,,:,18plus,d,All Delay Reasons,d,19,1
201803,,:,18plus,d,Health and Social Care Reasons,,19,1
201803,,:,18plus,d,Patient and Family Related Reasons,,0,0
201803,,:,18plus,d,Code 9 AWI,,0,0
201803,,:,18plus,d,Code 9 Non-AWI,,0,0
201803,,:,18-74,,All Delay Reasons,d,19,1
201803,,:,18-74,,Health and Social Care Reasons,,19,1
201803,,:,18-74,,Patient and Family Related Reasons,,0,0
201803,,:,18-74,,Code 9 AWI,,0,0
201803,,:,18-74,,Code 9 Non-AWI,,0,0
201803,,:,75plus,,All Delay Reasons,d,0,0
201803,,:,75plus,,Health and Social Care Reasons,,0,0
201803,,:,75plus,,Patient and Family Related Reasons,,0,0
201803,,:,75plus,,Code 9 AWI,,0,0
201803,,:,75plus,,Code 9 Non-AWI,,0,0
201803,S92000003,d,18plus,d,All Delay Reasons,d,42628,1375
201803,S92000003,d,18plus,d,Health and Social Care Reasons,,33066,1067
201803,S92000003,d,18plus,d,Patient and Family Related Reasons,,871,28
201803,S92000003,d,18plus,d,Code 9 AWI,,5472,177
201803,S92000003,d,18plus,d,Code 9 Non-AWI,,3219,104
201803,S92000003,d,18-74,,All Delay Reasons,d,13742,443
201803,S92000003,d,18-74,,Health and Social Care Reasons,,9258,299
201803,S92000003,d,18-74,,Patient and Family Related Reasons,,343,11
201803,S92000003,d,18-74,,Code 9 AWI,,1645,53
201803,S92000003,d,18-74,,Code 9 Non-AWI,,2496,81
201803,S92000003,d,75plus,,All Delay Reasons,d,28886,932
201803,S92000003,d,75plus,,Health and Social Care Reasons,,23808,768
201803,S92000003,d,75plus,,Patient and Family Related Reasons,,528,17
201803,S92000003,d,75plus,,Code 9 AWI,,3827,123
201803,S92000003,d,75plus,,Code 9 Non-AWI,,723,23
201804,S12000005,,18plus,d,All Delay Reasons,d,291,10
201804,S12000005,,18plus,d,Health and Social Care Reasons,,261,9
201804,S12000005,,18plus,d,Patient and Family Related Reasons,,0,0
201804,S12000005,,18plus,d,Code 9 AWI,,30,1
201804,S12000005,,18plus,d,Code 9 Non-AWI,,0,0
201804,S12000005,,18-74,,All Delay Reasons,d,73,2
201804,S12000005,,18-74,,Health and Social Care Reasons,,73,2
201804,S12000005,,18-74,,Patient and Family Related Reasons,,0,0
201804,S12000005,,18-74,,Code 9 AWI,,0,0
201804,S12000005,,18-74,,Code 9 Non-AWI,,0,0
201804,S12000005,,75plus,,All Delay Reasons,d,218,7
201804,S12000005,,75plus,,Health and Social Care Reasons,,188,6
201804,S12000005,,75plus,,Patient and Family Related Reasons,,0,0
201804,S12000005,,75plus,,Code 9 AWI,,30,1
201804,S12000005,,75plus,,Code 9 Non-AWI,,0,0
201804,S12000006,,18plus,d,All Delay Reasons,d,940,31
201804,S12000006,,18plus,d,Health and Social Care Reasons,,705,24
201804,S12000006,,18plus,d,Patient and Family Related Reasons,,45,2
201804,S12000006,,18plus,d,Code 9 AWI,,180,6
201804,S12000006,,18plus,d,Code 9 Non-AWI,,10,0
201804,S12000006,,18-74,,All Delay Reasons,d,255,9
201804,S12000006,,18-74,,Health and Social Care Reasons,,165,6
201804,S12000006,,18-74,,Patient and Family Related Reasons,,0,0
201804,S12000006,,18-74,,Code 9 AWI,,90,3
201804,S12000006,,18-74,,Code 9 Non-AWI,,0,0
201804,S12000006,,75plus,,All Delay Reasons,d,685,23
201804,S12000006,,75plus,,Health and Social Care Reasons,,540,18
201804,S12000006,,75plus,,Patient and Family Related Reasons,,45,2
201804,S12000006,,75plus,,Code 9 AWI,,90,3
201804,S12000006,,75plus,,Code 9 Non-AWI,,10,0
201804,S12000008,,18plus,d,All Delay Reasons,d,457,15
201804,S12000008,,18plus,d,Health and Social Care Reasons,,242,8
201804,S12000008,,18plus,d,Patient and Family Related Reasons,,0,0
201804,S12000008,,18plus,d,Code 9 AWI,,172,6
201804,S12000008,,18plus,d,Code 9 Non-AWI,,43,1
201804,S12000008,,18-74,,All Delay Reasons,d,114,4
201804,S12000008,,18-74,,Health and Social Care Reasons,,82,3
201804,S12000008,,18-74,,Patient and Family Related Reasons,,0,0
201804,S12000008,,18-74,,Code 9 AWI,,21,1
201804,S12000008,,18-74,,Code 9 Non-AWI,,11,0
201804,S12000008,,75plus,,All Delay Reasons,d,343,11
201804,S12000008,,75plus,,Health and Social Care Reasons,,160,5
201804,S12000008,,75plus,,Patient and Family Related Reasons,,0,0
201804,S12000008,,75plus,,Code 9 AWI,,151,5
201804,S12000008,,75plus,,Code 9 Non-AWI,,32,1
201804,S12000010,,18plus,d,All Delay Reasons,d,887,30
201804,S12000010,,18plus,d,Health and Social Care Reasons,,857,29
201804,S12000010,,18plus,d,Patient and Family Related Reasons,,30,1
201804,S12000010,,18plus,d,Code 9 AWI,,0,0
201804,S12000010,,18plus,d,Code 9 Non-AWI,,0,0
201804,S12000010,,18-74,,All Delay Reasons,d,169,6
201804,S12000010,,18-74,,Health and Social Care Reasons,,139,5
201804,S12000010,,18-74,,Patient and Family Related Reasons,,30,1
201804,S12000010,,18-74,,Code 9 AWI,,0,0
201804,S12000010,,18-74,,Code 9 Non-AWI,,0,0
201804,S12000010,,75plus,,All Delay Reasons,d,718,24
201804,S12000010,,75plus,,Health and Social Care Reasons,,718,24
201804,S12000010,,75plus,,Patient and Family Related Reasons,,0,0
201804,S12000010,,75plus,,Code 9 AWI,,0,0
201804,S12000010,,75plus,,Code 9 Non-AWI,,0,0
201804,S12000011,,18plus,d,All Delay Reasons,d,249,8
201804,S12000011,,18plus,d,Health and Social Care Reasons,,125,4
201804,S12000011,,18plus,d,Patient and Family Related Reasons,,7,0
201804,S12000011,,18plus,d,Code 9 AWI,,87,3
201804,S12000011,,18plus,d,Code 9 Non-AWI,,30,1
201804,S12000011,,18-74,,All Delay Reasons,d,83,3
201804,S12000011,,18-74,,Health and Social Care Reasons,,23,1
201804,S12000011,,18-74,,Patient and Family Related Reasons,,0,0
201804,S12000011,,18-74,,Code 9 AWI,,30,1
201804,S12000011,,18-74,,Code 9 Non-AWI,,30,1
201804,S12000011,,75plus,,All Delay Reasons,d,166,6
201804,S12000011,,75plus,,Health and Social Care Reasons,,102,3
201804,S12000011,,75plus,,Patient and Family Related Reasons,,7,0
201804,S12000011,,75plus,,Code 9 AWI,,57,2
201804,S12000011,,75plus,,Code 9 Non-AWI,,0,0
201804,S12000013,,18plus,d,All Delay Reasons,d,595,20
201804,S12000013,,18plus,d,Health and Social Care Reasons,,365,12
201804,S12000013,,18plus,d,Patient and Family Related Reasons,,37,1
201804,S12000013,,18plus,d,Code 9 AWI,,30,1
201804,S12000013,,18plus,d,Code 9 Non-AWI,,163,5
201804,S12000013,,18-74,,All Delay Reasons,d,159,5
201804,S12000013,,18-74,,Health and Social Care Reasons,,129,4
201804,S12000013,,18-74,,Patient and Family Related Reasons,,0,0
201804,S12000013,,18-74,,Code 9 AWI,,30,1
201804,S12000013,,18-74,,Code 9 Non-AWI,,0,0
201804,S12000013,,75plus,,All Delay Reasons,d,436,15
201804,S12000013,,75plus,,Health and Social Care Reasons,,236,8
201804,S12000013,,75plus,,Patient and Family Related Reasons,,37,1
201804,S12000013,,75plus,,Code 9 AWI,,0,0
201804,S12000013,,75plus,,Code 9 Non-AWI,,163,5
201804,S12000014,,18plus,d,All Delay Reasons,d,1485,50
201804,S12000014,,18plus,d,Health and Social Care Reasons,,532,18
201804,S12000014,,18plus,d,Patient and Family Related Reasons,,270,9
201804,S12000014,,18plus,d,Code 9 AWI,,482,16
201804,S12000014,,18plus,d,Code 9 Non-AWI,,201,7
201804,S12000014,,18-74,,All Delay Reasons,d,478,16
201804,S12000014,,18-74,,Health and Social Care Reasons,,179,6
201804,S12000014,,18-74,,Patient and Family Related Reasons,,63,2
201804,S12000014,,18-74,,Code 9 AWI,,60,2
201804,S12000014,,18-74,,Code 9 Non-AWI,,176,6
201804,S12000014,,75plus,,All Delay Reasons,d,1007,34
201804,S12000014,,75plus,,Health and Social Care Reasons,,353,12
201804,S12000014,,75plus,,Patient and Family Related Reasons,,207,7
201804,S12000014,,75plus,,Code 9 AWI,,422,14
201804,S12000014,,75plus,,Code 9 Non-AWI,,25,1
201804,S12000017,,18plus,d,All Delay Reasons,d,2312,77
201804,S12000017,,18plus,d,Health and Social Care Reasons,,1868,62
201804,S12000017,,18plus,d,Patient and Family Related Reasons,,0,0
201804,S12000017,,18plus,d,Code 9 AWI,,202,7
201804,S12000017,,18plus,d,Code 9 Non-AWI,,242,8
201804,S12000017,,18-74,,All Delay Reasons,d,644,21
201804,S12000017,,18-74,,Health and Social Care Reasons,,478,16
201804,S12000017,,18-74,,Patient and Family Related Reasons,,0,0
201804,S12000017,,18-74,,Code 9 AWI,,30,1
201804,S12000017,,18-74,,Code 9 Non-AWI,,136,5
201804,S12000017,,75plus,,All Delay Reasons,d,1668,56
201804,S12000017,,75plus,,Health and Social Care Reasons,,1390,46
201804,S12000017,,75plus,,Patient and Family Related Reasons,,0,0
201804,S12000017,,75plus,,Code 9 AWI,,172,6
201804,S12000017,,75plus,,Code 9 Non-AWI,,106,4
201804,S12000018,,18plus,d,All Delay Reasons,d,198,7
201804,S12000018,,18plus,d,Health and Social Care Reasons,,182,6
201804,S12000018,,18plus,d,Patient and Family Related Reasons,,0,0
201804,S12000018,,18plus,d,Code 9 AWI,,0,0
201804,S12000018,,18plus,d,Code 9 Non-AWI,,16,1
201804,S12000018,,18-74,,All Delay Reasons,d,60,2
201804,S12000018,,18-74,,Health and Social Care Reasons,,60,2
201804,S12000018,,18-74,,Patient and Family Related Reasons,,0,0
201804,S12000018,,18-74,,Code 9 AWI,,0,0
201804,S12000018,,18-74,,Code 9 Non-AWI,,0,0
201804,S12000018,,75plus,,All Delay Reasons,d,138,5
201804,S12000018,,75plus,,Health and Social Care Reasons,,122,4
201804,S12000018,,75plus,,Patient and Family Related Reasons,,0,0
201804,S12000018,,75plus,,Code 9 AWI,,0,0
201804,S12000018,,75plus,,Code 9 Non-AWI,,16,1
201804,S12000019,,18plus,d,All Delay Reasons,d,1102,37
201804,S12000019,,18plus,d,Health and Social Care Reasons,,1000,33
201804,S12000019,,18plus,d,Patient and Family Related Reasons,,0,0
201804,S12000019,,18plus,d,Code 9 AWI,,72,2
201804,S12000019,,18plus,d,Code 9 Non-AWI,,30,1
201804,S12000019,,18-74,,All Delay Reasons,d,227,8
201804,S12000019,,18-74,,Health and Social Care Reasons,,197,7
201804,S12000019,,18-74,,Patient and Family Related Reasons,,0,0
201804,S12000019,,18-74,,Code 9 AWI,,0,0
201804,S12000019,,18-74,,Code 9 Non-AWI,,30,1
201804,S12000019,,75plus,,All Delay Reasons,d,875,29
201804,S12000019,,75plus,,Health and Social Care Reasons,,803,27
201804,S12000019,,75plus,,Patient and Family Related Reasons,,0,0
201804,S12000019,,75plus,,Code 9 AWI,,72,2
201804,S12000019,,75plus,,Code 9 Non-AWI,,0,0
201804,S12000020,,18plus,d,All Delay Reasons,d,1097,37
201804,S12000020,,18plus,d,Health and Social Care Reasons,,897,30
201804,S12000020,,18plus,d,Patient and Family Related Reasons,,38,1
201804,S12000020,,18plus,d,Code 9 AWI,,132,4
201804,S12000020,,18plus,d,Code 9 Non-AWI,,30,1
201804,S12000020,,18-74,,All Delay Reasons,d,274,9
201804,S12000020,,18-74,,Health and Social Care Reasons,,184,6
201804,S12000020,,18-74,,Patient and Family Related Reasons,,30,1
201804,S12000020,,18-74,,Code 9 AWI,,30,1
201804,S12000020,,18-74,,Code 9 Non-AWI,,30,1
201804,S12000020,,75plus,,All Delay Reasons,d,823,27
201804,S12000020,,75plus,,Health and Social Care Reasons,,713,24
201804,S12000020,,75plus,,Patient and Family Related Reasons,,8,0
201804,S12000020,,75plus,,Code 9 AWI,,102,3
201804,S12000020,,75plus,,Code 9 Non-AWI,,0,0
201804,S12000021,,18plus,d,All Delay Reasons,d,1631,54
201804,S12000021,,18plus,d,Health and Social Care Reasons,,1358,45
201804,S12000021,,18plus,d,Patient and Family Related Reasons,,0,0
201804,S12000021,,18plus,d,Code 9 AWI,,273,9
201804,S12000021,,18plus,d,Code 9 Non-AWI,,0,0
201804,S12000021,,18-74,,All Delay Reasons,d,399,13
201804,S12000021,,18-74,,Health and Social Care Reasons,,309,10
201804,S12000021,,18-74,,Patient and Family Related Reasons,,0,0
201804,S12000021,,18-74,,Code 9 AWI,,90,3
201804,S12000021,,18-74,,Code 9 Non-AWI,,0,0
201804,S12000021,,75plus,,All Delay Reasons,d,1232,41
201804,S12000021,,75plus,,Health and Social Care Reasons,,1049,35
201804,S12000021,,75plus,,Patient and Family Related Reasons,,0,0
201804,S12000021,,75plus,,Code 9 AWI,,183,6
201804,S12000021,,75plus,,Code 9 Non-AWI,,0,0
201804,S12000023,,18plus,d,All Delay Reasons,d,47,2
201804,S12000023,,18plus,d,Health and Social Care Reasons,,17,1
201804,S12000023,,18plus,d,Patient and Family Related Reasons,,0,0
201804,S12000023,,18plus,d,Code 9 AWI,,30,1
201804,S12000023,,18plus,d,Code 9 Non-AWI,,0,0
201804,S12000023,,18-74,,All Delay Reasons,d,0,0
201804,S12000023,,18-74,,Health and Social Care Reasons,,0,0
201804,S12000023,,18-74,,Patient and Family Related Reasons,,0,0
201804,S12000023,,18-74,,Code 9 AWI,,0,0
201804,S12000023,,18-74,,Code 9 Non-AWI,,0,0
201804,S12000023,,75plus,,All Delay Reasons,d,47,2
201804,S12000023,,75plus,,Health and Social Care Reasons,,17,1
201804,S12000023,,75plus,,Patient and Family Related Reasons,,0,0
201804,S12000023,,75plus,,Code 9 AWI,,30,1
201804,S12000023,,75plus,,Code 9 Non-AWI,,0,0
201804,S12000026,,18plus,d,All Delay Reasons,d,1016,34
201804,S12000026,,18plus,d,Health and Social Care Reasons,,649,22
201804,S12000026,,18plus,d,Patient and Family Related Reasons,,84,3
201804,S12000026,,18plus,d,Code 9 AWI,,246,8
201804,S12000026,,18plus,d,Code 9 Non-AWI,,37,1
201804,S12000026,,18-74,,All Delay Reasons,d,285,10
201804,S12000026,,18-74,,Health and Social Care Reasons,,126,4
201804,S12000026,,18-74,,Patient and Family Related Reasons,,35,1
201804,S12000026,,18-74,,Code 9 AWI,,118,4
201804,S12000026,,18-74,,Code 9 Non-AWI,,6,0
201804,S12000026,,75plus,,All Delay Reasons,d,731,24
201804,S12000026,,75plus,,Health and Social Care Reasons,,523,17
201804,S12000026,,75plus,,Patient and Family Related Reasons,,49,2
201804,S12000026,,75plus,,Code 9 AWI,,128,4
201804,S12000026,,75plus,,Code 9 Non-AWI,,31,1
201804,S12000027,,18plus,d,All Delay Reasons,d,57,2
201804,S12000027,,18plus,d,Health and Social Care Reasons,,57,2
201804,S12000027,,18plus,d,Patient and Family Related Reasons,,0,0
201804,S12000027,,18plus,d,Code 9 AWI,,0,0
201804,S12000027,,18plus,d,Code 9 Non-AWI,,0,0
201804,S12000027,,18-74,,All Delay Reasons,d,27,1
201804,S12000027,,18-74,,Health and Social Care Reasons,,27,1
201804,S12000027,,18-74,,Patient and Family Related Reasons,,0,0
201804,S12000027,,18-74,,Code 9 AWI,,0,0
201804,S12000027,,18-74,,Code 9 Non-AWI,,0,0
201804,S12000027,,75plus,,All Delay Reasons,d,30,1
201804,S12000027,,75plus,,Health and Social Care Reasons,,30,1
201804,S12000027,,75plus,,Patient and Family Related Reasons,,0,0
201804,S12000027,,75plus,,Code 9 AWI,,0,0
201804,S12000027,,75plus,,Code 9 Non-AWI,,0,0
201804,S12000028,,18plus,d,All Delay Reasons,d,1284,43
201804,S12000028,,18plus,d,Health and Social Care Reasons,,923,31
201804,S12000028,,18plus,d,Patient and Family Related Reasons,,0,0
201804,S12000028,,18plus,d,Code 9 AWI,,331,11
201804,S12000028,,18plus,d,Code 9 Non-AWI,,30,1
201804,S12000028,,18-74,,All Delay Reasons,d,238,8
201804,S12000028,,18-74,,Health and Social Care Reasons,,208,7
201804,S12000028,,18-74,,Patient and Family Related Reasons,,0,0
201804,S12000028,,18-74,,Code 9 AWI,,30,1
201804,S12000028,,18-74,,Code 9 Non-AWI,,0,0
201804,S12000028,,75plus,,All Delay Reasons,d,1046,35
201804,S12000028,,75plus,,Health and Social Care Reasons,,715,24
201804,S12000028,,75plus,,Patient and Family Related Reasons,,0,0
201804,S12000028,,75plus,,Code 9 AWI,,301,10
201804,S12000028,,75plus,,Code 9 Non-AWI,,30,1
201804,S12000029,,18plus,d,All Delay Reasons,d,2546,85
201804,S12000029,,18plus,d,Health and Social Care Reasons,,2269,76
201804,S12000029,,18plus,d,Patient and Family Related Reasons,,0,0
201804,S12000029,,18plus,d,Code 9 AWI,,145,5
201804,S12000029,,18plus,d,Code 9 Non-AWI,,132,4
201804,S12000029,,18-74,,All Delay Reasons,d,815,27
201804,S12000029,,18-74,,Health and Social Care Reasons,,640,21
201804,S12000029,,18-74,,Patient and Family Related Reasons,,0,0
201804,S12000029,,18-74,,Code 9 AWI,,43,1
201804,S12000029,,18-74,,Code 9 Non-AWI,,132,4
201804,S12000029,,75plus,,All Delay Reasons,d,1731,58
201804,S12000029,,75plus,,Health and Social Care Reasons,,1629,54
201804,S12000029,,75plus,,Patient and Family Related Reasons,,0,0
201804,S12000029,,75plus,,Code 9 AWI,,102,3
201804,S12000029,,75plus,,Code 9 Non-AWI,,0,0
201804,S12000030,,18plus,d,All Delay Reasons,d,707,24
201804,S12000030,,18plus,d,Health and Social Care Reasons,,474,16
201804,S12000030,,18plus,d,Patient and Family Related Reasons,,17,1
201804,S12000030,,18plus,d,Code 9 AWI,,171,6
201804,S12000030,,18plus,d,Code 9 Non-AWI,,45,2
201804,S12000030,,18-74,,All Delay Reasons,d,147,5
201804,S12000030,,18-74,,Health and Social Care Reasons,,72,2
201804,S12000030,,18-74,,Patient and Family Related Reasons,,0,0
201804,S12000030,,18-74,,Code 9 AWI,,30,1
201804,S12000030,,18-74,,Code 9 Non-AWI,,45,2
201804,S12000030,,75plus,,All Delay Reasons,d,560,19
201804,S12000030,,75plus,,Health and Social Care Reasons,,402,13
201804,S12000030,,75plus,,Patient and Family Related Reasons,,17,1
201804,S12000030,,75plus,,Code 9 AWI,,141,5
201804,S12000030,,75plus,,Code 9 Non-AWI,,0,0
201804,S12000033,,18plus,d,All Delay Reasons,d,1368,46
201804,S12000033,,18plus,d,Health and Social Care Reasons,,1169,39
201804,S12000033,,18plus,d,Patient and Family Related Reasons,,27,1
201804,S12000033,,18plus,d,Code 9 AWI,,82,3
201804,S12000033,,18plus,d,Code 9 Non-AWI,,90,3
201804,S12000033,,18-74,,All Delay Reasons,d,347,12
201804,S12000033,,18-74,,Health and Social Care Reasons,,257,9
201804,S12000033,,18-74,,Patient and Family Related Reasons,,0,0
201804,S12000033,,18-74,,Code 9 AWI,,0,0
201804,S12000033,,18-74,,Code 9 Non-AWI,,90,3
201804,S12000033,,75plus,,All Delay Reasons,d,1021,34
201804,S12000033,,75plus,,Health and Social Care Reasons,,912,30
201804,S12000033,,75plus,,Patient and Family Related Reasons,,27,1
201804,S12000033,,75plus,,Code 9 AWI,,82,3
201804,S12000033,,75plus,,Code 9 Non-AWI,,0,0
201804,S12000034,,18plus,d,All Delay Reasons,d,1194,40
201804,S12000034,,18plus,d,Health and Social Care Reasons,,880,29
201804,S12000034,,18plus,d,Patient and Family Related Reasons,,91,3
201804,S12000034,,18plus,d,Code 9 AWI,,192,6
201804,S12000034,,18plus,d,Code 9 Non-AWI,,31,1
201804,S12000034,,18-74,,All Delay Reasons,d,320,11
201804,S12000034,,18-74,,Health and Social Care Reasons,,187,6
201804,S12000034,,18-74,,Patient and Family Related Reasons,,12,0
201804,S12000034,,18-74,,Code 9 AWI,,90,3
201804,S12000034,,18-74,,Code 9 Non-AWI,,31,1
201804,S12000034,,75plus,,All Delay Reasons,d,874,29
201804,S12000034,,75plus,,Health and Social Care Reasons,,693,23
201804,S12000034,,75plus,,Patient and Family Related Reasons,,79,3
201804,S12000034,,75plus,,Code 9 AWI,,102,3
201804,S12000034,,75plus,,Code 9 Non-AWI,,0,0
201804,S12000035,,18plus,d,All Delay Reasons,d,985,33
201804,S12000035,,18plus,d,Health and Social Care Reasons,,718,24
201804,S12000035,,18plus,d,Patient and Family Related Reasons,,47,2
201804,S12000035,,18plus,d,Code 9 AWI,,130,4
201804,S12000035,,18plus,d,Code 9 Non-AWI,,90,3
201804,S12000035,,18-74,,All Delay Reasons,d,311,10
201804,S12000035,,18-74,,Health and Social Care Reasons,,186,6
201804,S12000035,,18-74,,Patient and Family Related Reasons,,5,0
201804,S12000035,,18-74,,Code 9 AWI,,60,2
201804,S12000035,,18-74,,Code 9 Non-AWI,,60,2
201804,S12000035,,75plus,,All Delay Reasons,d,674,22
201804,S12000035,,75plus,,Health and Social Care Reasons,,532,18
201804,S12000035,,75plus,,Patient and Family Related Reasons,,42,1
201804,S12000035,,75plus,,Code 9 AWI,,70,2
201804,S12000035,,75plus,,Code 9 Non-AWI,,30,1
201804,S12000036,,18plus,d,All Delay Reasons,d,7532,251
201804,S12000036,,18plus,d,Health and Social Care Reasons,,7045,235
201804,S12000036,,18plus,d,Patient and Family Related Reasons,,30,1
201804,S12000036,,18plus,d,Code 9 AWI,,397,13
201804,S12000036,,18plus,d,Code 9 Non-AWI,,60,2
201804,S12000036,,18-74,,All Delay Reasons,d,2124,71
201804,S12000036,,18-74,,Health and Social Care Reasons,,1906,64
201804,S12000036,,18-74,,Patient and Family Related Reasons,,30,1
201804,S12000036,,18-74,,Code 9 AWI,,128,4
201804,S12000036,,18-74,,Code 9 Non-AWI,,60,2
201804,S12000036,,75plus,,All Delay Reasons,d,5408,180
201804,S12000036,,75plus,,Health and Social Care Reasons,,5139,171
201804,S12000036,,75plus,,Patient and Family Related Reasons,,0,0
201804,S12000036,,75plus,,Code 9 AWI,,269,9
201804,S12000036,,75plus,,Code 9 Non-AWI,,0,0
201804,S12000038,,18plus,d,All Delay Reasons,d,294,10
201804,S12000038,,18plus,d,Health and Social Care Reasons,,173,6
201804,S12000038,,18plus,d,Patient and Family Related Reasons,,0,0
201804,S12000038,,18plus,d,Code 9 AWI,,57,2
201804,S12000038,,18plus,d,Code 9 Non-AWI,,64,2
201804,S12000038,,18-74,,All Delay Reasons,d,147,5
201804,S12000038,,18-74,,Health and Social Care Reasons,,72,2
201804,S12000038,,18-74,,Patient and Family Related Reasons,,0,0
201804,S12000038,,18-74,,Code 9 AWI,,15,1
201804,S12000038,,18-74,,Code 9 Non-AWI,,60,2
201804,S12000038,,75plus,,All Delay Reasons,d,147,5
201804,S12000038,,75plus,,Health and Social Care Reasons,,101,3
201804,S12000038,,75plus,,Patient and Family Related Reasons,,0,0
201804,S12000038,,75plus,,Code 9 AWI,,42,1
201804,S12000038,,75plus,,Code 9 Non-AWI,,4,0
201804,S12000039,,18plus,d,All Delay Reasons,d,276,9
201804,S12000039,,18plus,d,Health and Social Care Reasons,,207,7
201804,S12000039,,18plus,d,Patient and Family Related Reasons,,26,1
201804,S12000039,,18plus,d,Code 9 AWI,,43,1
201804,S12000039,,18plus,d,Code 9 Non-AWI,,0,0
201804,S12000039,,18-74,,All Delay Reasons,d,66,2
201804,S12000039,,18-74,,Health and Social Care Reasons,,48,2
201804,S12000039,,18-74,,Patient and Family Related Reasons,,0,0
201804,S12000039,,18-74,,Code 9 AWI,,18,1
201804,S12000039,,18-74,,Code 9 Non-AWI,,0,0
201804,S12000039,,75plus,,All Delay Reasons,d,210,7
